epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.824,0.42734,0.6609,1.83016,0.97845,0.60682,0.7017,0.71,0.64041,0.60561,0.69486,0.7078,0.66069,0.41594,0.5647,1.30778,1.02948,0.000369875,0.000369875,0.000369875
2,233.288,0.43045,0.57105,1.2055,0.97227,0.72036,0.73495,0.78917,0.70645,0.72144,0.73619,0.78851,0.75785,0.43378,0.55876,0.97822,1.03007,0.000725552,0.000725552,0.000725552
3,344.895,0.43997,0.57201,1.0845,0.97591,0.63798,0.69163,0.76394,0.70687,0.63375,0.68812,0.7599,0.73547,0.36709,0.5832,1.16213,0.97032,0.00106656,0.00106656,0.00106656
4,455.618,0.41253,0.54256,0.99866,0.96043,0.77602,0.7539,0.84404,0.79221,0.77099,0.74911,0.841,0.81806,0.32132,0.50785,0.79841,0.92919,0.00104501,0.00104501,0.00104501
5,566.148,0.39328,0.51911,0.93306,0.9526,0.71164,0.80322,0.83004,0.77701,0.70914,0.80075,0.82723,0.80503,0.31159,0.41705,0.79074,0.92003,0.00102301,0.00102301,0.00102301
6,676.799,0.3771,0.49127,0.88361,0.94599,0.79134,0.76424,0.86375,0.81616,0.79039,0.763,0.85999,0.84011,0.29372,0.6132,0.71203,0.9059,0.00100101,0.00100101,0.00100101
7,787.483,0.36335,0.48817,0.82563,0.93721,0.77101,0.79345,0.86859,0.82338,0.76996,0.79221,0.86634,0.84382,0.30163,0.49567,0.72438,0.9126,0.000979013,0.000979013,0.000979013
8,897.773,0.35374,0.48241,0.79485,0.93151,0.82026,0.79227,0.88625,0.85244,0.81782,0.78923,0.8847,0.86716,0.26818,0.40829,0.63027,0.89243,0.000957015,0.000957015,0.000957015
9,1008.48,0.34569,0.45255,0.74893,0.93449,0.79824,0.85392,0.89612,0.86887,0.79458,0.8505,0.89249,0.87726,0.24861,0.46323,0.55019,0.87226,0.000935018,0.000935018,0.000935018
10,1119.29,0.33551,0.44192,0.7227,0.92767,0.81238,0.79571,0.87865,0.84514,0.80935,0.79371,0.87476,0.86145,0.26386,0.46196,0.61762,0.87992,0.00091302,0.00091302,0.00091302
